Year,Topic
2010,Environment III
2009,Social Inequality IV
2008,Religion III
2007,Leisure Time and Sports
2006,Role of Government IV
2005,Work Orientations III
2004,Citizenship
2003,National Identity II
2002,Family and Changing Gender Roles III
2001,Social Networks II
2000,Environment II
1999,Social Inequality III
1998,Religion II
1997,Work Orientations II
1996,Role of Government III
1995,National Identity I
1994,Family and Changing Gender Roles II
1993,Environment I
1992,Social Inequality II
1991,Religion I
